user_id,species,source,device,p_view,p_cart,p_purchase
U00001,2,0,0,0.742906722861994,,
U00002,4,2,1,0.6015487026168018,,
U00003,1,1,1,0.7017601464290834,0.4695481990290975,
U00004,1,1,2,0.5988911959409104,0.33237026286137866,
U00005,2,3,1,0.643608849066447,0.4559751524525839,0.5036327661707038
U00006,2,1,1,0.5241522048055662,0.30328844192394605,0.42560544100987446
U00007,2,2,1,0.4744247253171042,0.38511087490957974,0.47776271800289166
U00008,0,2,1,0.4584628088875248,,
U00009,1,2,0,0.8227572503003319,0.5103788781671929,
U00010,1,1,0,0.6603091016683349,,
U00011,2,2,1,0.6791082540305848,0.4185519399083423,
U00012,4,2,0,0.5643071757982103,,
U00013,3,0,1,0.6941198258610413,,
U00014,2,4,1,0.717584825066242,0.5159572410795892,
U00015,2,1,0,0.63348958351818,0.3790478142769714,
U00016,2,1,0,0.8120377198298956,0.5130686107136393,
U00017,2,4,0,0.6773975664282913,,
U00018,1,0,1,0.6610549934278817,0.40663364382038686,
U00019,1,4,1,0.6046034967425278,0.45004108826188055,
U00020,2,4,1,0.4609981151351172,0.35716513237553976,
U00021,1,4,1,0.4861969338645623,0.2771992343918395,
U00022,2,0,0,0.5407467384236414,0.27782683021677945,
U00023,2,3,1,0.6366950491750849,,
U00024,2,1,0,0.6355775390352053,,
U00025,1,4,1,0.45387238608267955,0.3758762550658239,
U00026,3,1,1,0.7405961041091924,,
U00027,2,0,1,0.6087289791315531,0.47467426152696085,
U00028,1,2,1,0.4896951315993509,,0.4208674706240755
U00029,1,3,0,0.5284494809536537,,
U00030,2,1,1,0.636149526505668,,
U00031,1,3,1,0.4815187381236849,,
U00032,2,1,0,0.6505088268422925,,
U00033,2,0,0,0.6374092435793965,,
U00034,0,1,1,0.44335973085765995,,
U00035,4,2,1,0.5928985413614306,0.3199573990689903,
U00036,3,4,0,0.4638215579942142,0.32820743000243807,
U00037,2,0,2,0.5269712767599585,0.3570793517464885,
U00038,2,2,0,0.5652590435700332,0.3267059870556966,
U00039,1,1,1,0.5015088010302752,,
U00040,1,1,2,0.5387004094179029,,
U00041,2,2,1,0.4542835866601722,,
U00042,1,4,1,0.6460436528500041,,
U00043,2,1,0,0.6235986730976613,0.42261935226622444,
U00044,0,4,1,0.570675026403745,,
U00045,2,0,1,0.5568456081046663,0.3509816586351608,
U00046,1,1,1,0.5044550264022589,,
U00047,2,1,1,0.6291865347184503,,
U00048,1,1,0,0.759188923251452,,
U00049,1,4,0,0.49390563832794016,,
U00050,2,2,1,0.6571447502516656,0.5120832132203404,0.5603569339850333
U00051,4,3,1,0.45241031517559605,0.22706113879551026,
U00052,3,0,2,0.7888248677955041,,0.6607244250204
U00053,0,1,0,0.7693592520821704,0.4254757367307298,
U00054,0,3,1,0.5797582721683693,,
U00055,1,4,2,0.6980552047800949,0.36119183540585903,
U00056,0,1,0,0.8371672697169696,0.43620126785228,
U00057,2,3,1,0.822937463858051,0.5030539776434388,0.572153507969645
U00058,2,2,1,0.5315989614276173,,
U00059,2,2,1,0.6649485736032908,0.4421673500833408,
U00060,2,2,0,0.8012334759803719,0.5122356508604861,0.6225732389073492
U00061,2,1,1,0.6412155370885176,0.3690437406942901,
U00062,2,1,1,0.659845033030707,0.4134623151822833,0.4973539023719206
U00063,3,0,1,0.8128835839773946,,
U00064,2,1,2,0.500555942168773,0.3768544403939584,0.44593067431117567
U00065,2,4,1,0.4418667247507011,0.32973481884975575,
U00066,1,2,2,0.70049035596293,0.23808649505128768,0.8141763924968141
U00067,2,2,2,0.5474156114752967,,
U00068,3,4,1,0.6014157625372727,0.37731245554359866,
U00069,2,2,1,0.4451768863656255,,
U00070,4,2,1,0.7465675707577619,,
U00071,3,0,2,0.44635148837181576,,
U00072,2,1,1,0.6390502495548116,,
U00073,2,1,1,0.5069088993010176,,
U00074,3,4,1,0.5086425121702454,,
U00075,1,1,1,0.6486598760772585,,
U00076,1,1,2,0.527591074011549,0.3419248588045735,
U00077,3,1,0,0.8500075801144207,0.4813739693385846,
U00078,2,4,0,0.6689515849255405,0.3750586229871633,0.48022182751238585
U00079,2,3,1,0.6359381593809157,0.3995888665582641,
U00080,2,1,1,0.4808817634560976,0.3142786773775412,
U00081,0,2,2,0.7113066012044766,0.4324182299079796,0.5943810601738868
U00082,1,0,1,0.49448151609713586,0.36878231901088254,
U00083,2,1,2,0.5630924022955182,0.34147653244686205,
U00084,2,3,1,0.5453923639377275,0.33372653540634145,0.3614211836528632
